,school,district,city,state,county,address,zip,school_sample,cleaned
365,Miami Jackson Senior High School,Dade,Miami,FL,Miami-Dade County,1751 NW 36TH ST,33142,0,Miami Jackson Senior High School
366,Academy For Community Education (Ace),Dade,El Portal,FL,Miami-Dade County,8950 NW 2ND AVE,33150,0,Academy For Community Education (Ace)
367,Fienberg/Fisher K-8 Center,Dade,Miami Beach,FL,Miami-Dade County,1420 WASHINGTON AVE,33139,0,Fienberg/Fisher K-8 Center
368,Miami Palmetto Senior High Adult,Dade,Miami,FL,Miami-Dade County,7460 SW 118TH ST,33156,0,Miami Palmetto Senior High Adult
369,Morningside K-8 Academy,Dade,Miami,FL,Miami-Dade County,6620 NE 5TH AVE,33138,0,Morningside K-8 Academy
370,Springview Elementary School,Dade,Miami Springs,FL,Miami-Dade County,1122 BLUEBIRD AVE,33166,0,Springview Elementary School
371,Claude Pepper Elementary School,Dade,Miami,FL,Miami-Dade County,14550 SW 96TH ST,33186,1,Claude Pepper Elementary School
372,Sunset Elementary School,Dade,Miami,FL,Miami-Dade County,5120 SW 72ND ST,33143,0,Sunset Elementary School
373,His House,Dade,Miami Gardens,FL,Miami-Dade County,20000 NW 47 AVE,33055,0,His House
374,Homestead Senior High School,Dade,Homestead,FL,Miami-Dade County,2351 SE 12TH AVE,33034,0,Homestead Senior High School
375,Toussaint L'Ouverture Elementary,Dade,Miami,FL,Miami-Dade County,120 NE 59TH ST,33137,0,Toussaint L'Ouverture Elementary School
376,Dr. Edward L. Whigham Elementary School,Dade,Cutler Bay,FL,Miami-Dade County,21545 SW 87TH AVE,33189,0,Dr. Edward L. Whigham Elementary School
377,Alternative Outreach Program,Dade,Miami,FL,Miami-Dade County,6300 NW 27TH AVE,33147,0,Alternative Outreach Program
378,Coral Gables Senior High Adult Education,Dade,Coral Gables,FL,Miami-Dade County,450 BIRD RD,33146,0,Coral Gables Senior High Adult Education
379,Marcus A. Milam K-8 Center,Dade,Hialeah,FL,Miami-Dade County,6020 W 16TH AVE,33012,0,Marcus A. Milam K-8 Center
380,Lake Stevens Elementary School,Dade,Miami Gardens,FL,Miami-Dade County,5101 NW 183RD ST,33055,0,Lake Stevens Elementary School
381,Henry S. West Laboratory School,Dade,Coral Gables,FL,Miami-Dade County,5300 CARILLO ST,33146,0,Henry S. West Laboratory School
382,South Dade Middle School,Dade,Homestead,FL,Miami-Dade County,29100 SW 194TH AVE,33030,0,South Dade Middle School
383,Devon Aire K-8 Center,Dade,Miami,FL,Miami-Dade County,10501 SW 122ND AVE,33186,0,Devon Aire K-8 Center
384,Treasure Island Elementary School,Dade,North Bay Village,FL,Miami-Dade County,7540 E TREASURE DR,33141,0,Treasure Island Elementary School
385,Howard D. Mcmillan Middle School,Dade,Miami,FL,Miami-Dade County,13100 SW 59TH ST,33183,0,Howard D. Mcmillan Middle School
386,Miami Springs Elementary School,Dade,Miami Springs,FL,Miami-Dade County,51 PARK ST,33166,0,Miami Springs Elementary School
387,Robert Morgan Educational Center And Technical College,Dade,Miami,FL,Miami-Dade County,18180 SW 122ND AVE,33177,0,Robert Morgan Educational Center And Technical College
388,Ben Sheppard Elementary School,Dade,Hialeah,FL,Miami-Dade County,5700 W 24TH AVE,33016,0,Ben Sheppard Elementary School
389,Juvenile Justice Center Alt Ed,Dade,Miami,FL,Miami-Dade County,3300 NW 27TH AVE,33142,0,Juvenile Justice Center alternative Ed
390,Irving & Beatrice Peskoe K-8 Center,Dade,Miami Springs,FL,Miami-Dade County,301 WESTWARD DR,33166,0,Irving & Beatrice Peskoe K-8 Center
391,Parkway Elementary School,Dade,Miami,FL,Miami-Dade County,1320 NW 188TH ST,33169,0,Parkway Elementary School
392,Carol City Elementary School,Dade,Miami Gardens,FL,Miami-Dade County,4375 NW 173RD DR,33055,0,Carol City Elementary School
393,Paul Laurence Dunbar K-8 Center,Dade,Miami,FL,Miami-Dade County,505 NW 20TH ST,33127,0,Paul Laurence Dunbar K-8 Center
394,North Miami Middle School,Dade,North Miami,FL,Miami-Dade County,700 NE 137TH ST,33161,0,North Miami Middle School
395,Blue Lakes Elementary School,Dade,Miami,FL,Miami-Dade County,9250 SW 52ND TER,33165,0,Blue Lakes Elementary School
396,Cope Center North,Dade,Miami,FL,Miami-Dade County,9950 NW 19TH AVE,33147,0,Cope Center North
397,Secondary Student Success Center-804,Dade,Miami,FL,Miami-Dade County,7100 NW 17TH AVE,33147,0,Secondary Student Success Center-804
398,Jesse J. Mccrary Jr. Elementary School,Dade,Miami,FL,Miami-Dade County,514 NW 77TH ST,33150,0,Jesse J. Mccrary Jr. Elementary School
399,Kinloch Park Elementary School,Dade,Miami,FL,Miami-Dade County,4275 NW 1ST ST,33126,0,Kinloch Park Elementary School
400,Jackson Sipp/Child Crisis,Dade,Miami,FL,Miami-Dade County,1695 NW 9TH AVE,33136,0,Jackson Sipp/Child Crisis
401,American Senior High Adult Education,Dade,Hialeah,FL,Miami-Dade County,18350 NW 67TH AVE,33015,0,American Senior High Adult Education
402,Calusa Elementary School,Dade,Miami,FL,Miami-Dade County,9580 W CALUSA CLUB DR,33186,0,Calusa Elementary School
403,Lakeview Elementary School,Dade,Miami,FL,Miami-Dade County,1290 NW 115TH ST,33167,0,Lakeview Elementary School
404,Crestview Elementary School,Dade,Opa Locka,FL,Miami-Dade County,2201 NW 187TH ST,33056,0,Crestview Elementary School
405,North Miami Elementary School,Dade,North Miami,FL,Miami-Dade County,655 NE 145TH ST,33161,0,North Miami Elementary School
406,Neva King Cooper Educational Center,Dade,Homestead,FL,Miami-Dade County,151 NW 5TH ST,33030,0,Neva King Cooper Educational Center
407,Van E. Blanton Elementary School,Dade,Miami,FL,Miami-Dade County,10327 NW 11TH AVE,33150,0,Van E. Blanton Elementary School
408,Archcreek Elementary School,Dade,North Miami,FL,Miami-Dade County,702 NE 137TH ST,33161,0,Archcreek Elementary School
409,West Hialeah Gardens Elementary School,Dade,Hialeah Gardens,FL,Miami-Dade County,11990 NW 92ND AVE,33018,0,West Hialeah Gardens Elementary School
410,South Dade Technical College,Dade,Homestead,FL,Miami-Dade County,109 NE 8TH ST,33030,0,South Dade Technical College
411,Royal Green Elementary School,Dade,Miami,FL,Miami-Dade County,13047 SW 47TH ST,33175,0,Royal Green Elementary School
412,Coral Reef Elementary School,Dade,Palmetto Bay,FL,Miami-Dade County,7955 SW 152ND ST,33157,0,Coral Reef Elementary School
413,Jorge Mas Canosa Middle School,Dade,Miami,FL,Miami-Dade County,15735 SW 144TH ST,33196,0,Jorge Mas Canosa Middle School
414,Emerson Elementary School,Dade,Miami,FL,Miami-Dade County,8001 SW 36TH ST,33155,0,Emerson Elementary School
415,Tropical Elementary School,Dade,Miami,FL,Miami-Dade County,4545 SW 104TH AVE,33165,0,Tropical Elementary School
416,North Miami Senior Adult Education,Dade,North Miami,FL,Miami-Dade County,13110 NE 8TH AVE,33161,0,North Miami Senior Adult Education
417,Jack David Gordon Elementary School,Dade,Miami,FL,Miami-Dade County,14600 COUNTRY WALK DR,33186,0,Jack David Gordon Elementary School
418,Hialeah Senior High School,Dade,Hialeah,FL,Miami-Dade County,251 E 47TH ST,33013,0,Hialeah Senior High School
419,William H. Lehman Elementary School,Dade,Miami,FL,Miami-Dade County,10990 SW 113TH PL,33176,0,William H. Lehman Elementary School
420,Shenandoah Middle School,Dade,Miami,FL,Miami-Dade County,1950 SW 19TH ST,33145,0,Shenandoah Middle School
421,Booker T. Washington Senior High,Dade,Miami,FL,Miami-Dade County,1200 NW 6TH AVE,33136,1,Booker T. Washington Senior High School
422,Lindsey Hopkins Technical College,Dade,Miami,FL,Miami-Dade County,750 NW 20TH ST,33127,0,Lindsey Hopkins Technical College
423,Miami Beach Senior High School,Dade,Miami Beach,FL,Miami-Dade County,2231 PRAIRIE AVE,33139,0,Miami Beach Senior High School
424,Steuart Hill Academic Academy,Baltimore City Public Schools,Baltimore,MD,Baltimore City,30 S Gilmor St,21223,0,Steuart Hill Academic Academy
425,Pimlico Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3910 Barrington Road,21207,0,Pimlico Elementary School
426,Vanguard Collegiate Middle School,Baltimore City Public Schools,Baltimore,MD,Baltimore City,5000 Truesdale Ave,21206,0,Vanguard Collegiate Middle School
427,Cross Country Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,6100 Cross Country Blvd,21215,0,Cross Country Elementary School
428,Garrett Heights Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2800 Ailsa Ave,21214,0,Garrett Heights Elementary School
429,Dickey Hill Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,5025 Dickey Hill Rd,21207,0,Dickey Hill Elementary/Middle School
430,Montebello Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2040 E 32nd St,21218,0,Montebello Elementary School
431,North Bend Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,181 North Bend Rd,21229,0,North Bend Elementary School
432,Carver Vocational-Technical High,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2201 Presstman St,21216,0,Carver Vocational-Technical High School
433,National Academy Foundation,Baltimore City Public Schools,Baltimore,MD,Baltimore City,540 N. Caroline Street,21205,0,National Academy Foundation
434,Sarah M. Roach Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3434 Old Frederick Rd,21229,0,Sarah M. Roach Elementary School
435,Elmer A. Henderson: A Johns Hopkins Partnership Sc,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2100 Ashland Avenue,21205,0,Elmer A. Henderson: A Johns Hopkins Partnership Sc
436,Edgecombe Circle Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2835 Virginia Ave,21215,0,Edgecombe Circle Elementary School
437,The Mount Washington School,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1801 Sulgrave Ave,21209,0,The Mount Washington School
438,Eutaw-Marshburn Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1624 Eutaw Pl,21217,0,Eutaw-Marshburn Elementary School
439,Bluford Drew Jemison Stem Academy West,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2000 Edgewood Street,21216,0,Bluford Drew Jemison Stem Academy West
440,Glenmount Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,6211 Walther Ave,21206,0,Glenmount Elementary/Middle School
441,Paul Laurence Dunbar High,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1400 Orleans Street,21231,0,Paul Laurence Dunbar High School
442,Hazelwood Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,4517 Hazelwood Ave,21206,0,Hazelwood Elementary/Middle School
443,Fallstaff Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3801 Fallstaff Rd,21215,0,Fallstaff Elementary School
444,Graceland Park/O'Donnel Heights Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,6300 O'Donnell St,21224,0,Graceland Park/O'Donnel Heights Elementary School
445,Gardenville Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,5300 Belair Rd,21206,0,Gardenville Elementary School
446,Violetville Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1207 Pine Heights Ave,21229,0,Violetville Elementary/Middle School
447,Mount Royal Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,121 Mc Mechen St,21217,0,Mount Royal Elementary/Middle School
448,Moravia Park,Baltimore City Public Schools,Baltimore,MD,Baltimore City,6201 Frankford Ave,21206,0,Moravia Park
449,Sharp-Leadenhall Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,150 W West St,21230,0,Sharp-Leadenhall Elementary School
450,Grove Park Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,5545 Kennison Ave,21215,0,Grove Park Elementary School
451,Frederick Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2501 Frederick Ave,21223,0,Frederick Elementary School
452,Achievement Academy @ Harbor City High,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2201 Pinewood Avenue,21214,0,Achievement Academy @ Harbor City High School
453,The Reach! Partnership School,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2801 St. Lo Drive,21213,0,The Reach! Partnership School
454,Renaissance Academy,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1301 Mcculloh St,21217,0,Renaissance Academy
455,Thomas Johnson Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,100 E Heath St,21230,0,Thomas Johnson Elementary School
456,Baltimore City College,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3220 The Alameda,21218,0,Baltimore City College
457,William Paca Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,200 N Lakewood Ave,21224,0,William Paca Elementary School
458,Charles Carroll Barrister Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1327 Washington Blvd,21230,0,Charles Carroll Barrister Elementary School
459,Armistead Gardens Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,5001 E Eager St,21205,0,Armistead Gardens Elementary School
460,Northwood Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,5201 Loch Raven Blvd,21239,0,Northwood Elementary School
461,Robert W. Coleman Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2400 Windsor Ave,21216,0,Robert W. Coleman Elementary School
462,Walter P. Carter Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,820 E 43rd St,21212,0,Walter P. Carter Elementary School
463,Yorkwood Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,5931 Yorkwood Rd,21239,0,Yorkwood Elementary School
464,Roland Park Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,5207 Roland Ave,21210,0,Roland Park Elementary/Middle School
465,Rognel Heights Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,4300 Sidehill Rd,21229,0,Rognel Heights Elementary/Middle School
466,Waverly Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3400 Ellerslie Ave,21218,0,Waverly Elementary School
467,Woodhome Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,7300 Moyer Ave,21234,0,Woodhome Elementary/Middle School
468,Leith Walk Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1235 Sherwood Ave,21239,0,Leith Walk Elementary School
469,Baltimore Design School,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1500 Barclay Street,21202,0,Baltimore Design School
470,Lakeland Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2921 Stranden Rd,21230,0,Lakeland Elementary/Middle School
471,Curtis Bay Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,4301 W Bay Ave,21225,0,Curtis Bay Elementary School
472,Stadium School,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1300 Gorsuch Ave,21218,0,Stadium School
473,Tench Tilghman Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,600 N Patterson Park Ave,21205,0,Tench Tilghman Elementary School
474,Frederick Douglass High,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2301 Gwynns Falls Pky,21217,1,Frederick Douglass High School
475,Lockerman Bundy Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,301 N Pulaski St,21223,0,Lockerman Bundy Elementary School
476,Johnston Square Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1101 Valley St,21202,0,Johnston Square Elementary School
477,Highlandtown Elementary #237,Baltimore City Public Schools,Baltimore,MD,Baltimore City,231 S. Eaton Street,21224,0,Highlandtown Elementary #237
478,Guilford Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,4520 York Rd,21212,0,Guilford Elementary/Middle School
479,New Song Academy,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1530 Presstman Street,21217,0,New Song Academy
480,New Era Academy,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2700 Seamon Ave,21225,0,New Era Academy
481,Patterson High,Baltimore City Public Schools,Baltimore,MD,Baltimore City,100 Kane St,21224,0,Patterson High School
482,Abbottston Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1300 Gorsuch Ave,21218,0,Abbottston Elementary School
483,Mergenthaler Vocational-Technical High,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3500 Hillen Rd,21218,0,Mergenthaler Vocational-Technical High School
484,Callaway Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3701 Fernhill Ave,21215,0,Callaway Elementary School
485,Calverton,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1100 Whitmore Ave,21216,0,Calverton
486,Alexander Hamilton Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,800 Poplar Grove St,21216,0,Alexander Hamilton Elementary School
487,Digital Harbor High School,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1100 Covington St,21230,0,Digital Harbor High School
488,Hilton Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3301 Carlisle Ave,21216,0,Hilton Elementary School
489,Edmondson-Westside High,Baltimore City Public Schools,Baltimore,MD,Baltimore City,501 N Athol Ave,21229,1,Edmondson-Westside High School
490,Arundel Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2400 Round Rd,21225,0,Arundel Elementary/Middle School
491,Collington Square Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1409 N Collington Ave,21213,0,Collington Square Elementary School
492,Dr. Nathan A. Pitts-Ashburton Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3935 Hilton Rd,21215,0,Dr. Nathan A. Pitts-Ashburton Elementary/Middle School
493,Westport Academy,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2401 Nevada St,21230,0,Westport Academy
494,Hampden,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3608 Chestnut Ave,21211,0,Hampden
495,Arlington Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3705 W Rogers Ave,21215,0,Arlington Elementary/Middle School
496,Cecil Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2000 Cecil Ave,21218,0,Cecil Elementary School
497,John Ruhrah Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,701 Rappolla Street,21224,0,John Ruhrah Elementary School
498,William Pinderhughes Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,701 Gold Street,21217,0,William Pinderhughes Elementary School
499,Baltimore I.T. Academy,Baltimore City Public Schools,Baltimore,MD,Baltimore City,900 Woodbourne Ave,21212,0,Baltimore I.T. Academy
500,James Mchenry Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,31 S Schroeder St,21223,0,James Mchenry Elementary School
501,Samuel F. B. Morse Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,424 S Pulaski St,21223,0,Samuel F. B. Morse Elementary School
502,George W. F. Mcmechen,Baltimore City Public Schools,Baltimore,MD,Baltimore City,4411 Garrison Blvd,21215,0,George W. F. Mcmechen
503,Calvin M. Rodwell Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3501 Hillsdale Rd,21207,0,Calvin M. Rodwell Elementary School
504,Maree Garnett Farring Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,300 Pontiac Ave,21225,0,Maree Garnett Farring Elementary School
505,Western High,Baltimore City Public Schools,Baltimore,MD,Baltimore City,4600 Falls Rd,21209,0,Western High School
506,The Historic Samuel Coleridge-Taylor Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,507 W Preston St,21201,0,The Historic Samuel Coleridge-Taylor Elementary School
507,Lois T. Murray Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1600 Arlington Ave,21239,0,Lois T. Murray Elementary School
508,Morrell Park Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2601 Tolley St,21230,0,Morrell Park Elementary/Middle School
509,K.A.S.A. (Knowledge And Success Academy),Baltimore City Public Schools,Baltimore,MD,Baltimore City,2000 Edgewood Street,21216,0,K.A.S.A. (Knowledge And Success Academy)
510,Lakewood Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2625 Federal Street,21213,0,Lakewood Elementary School
511,Excel Academy @ Francis M. Wood High,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1001 W Saratoga St,21223,0,Excel Academy @ Francis M. Wood High School
512,Bard High School Early College,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2801 N Dukeland Street,21216,0,Bard High School Early College
513,Dorothy I. Height Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2011 Linden Ave,21217,0,Dorothy I. Height Elementary School
514,Northwestern High,Baltimore City Public Schools,Baltimore,MD,Baltimore City,6900 Park Heights Avenue,21215,0,Northwestern High School
515,Forest Park High,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3701 Eldorado Ave,21207,0,Forest Park High School
516,Harford Heights Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1919 N Broadway,21213,0,Harford Heights Elementary School
517,Reginald F. Lewis High School,Baltimore City Public Schools,Baltimore,MD,Baltimore City,6401 Pioneer Drive,21214,0,Reginald F. Lewis High School
518,Benjamin Franklin High School At Masonville Cove,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1201 Cambria St,21225,0,Benjamin Franklin High School At Masonville Cove
519,Dr. Bernard Harris Sr. Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1400 N Caroline St,21213,0,Dr. Bernard Harris Sr. Elementary School
520,Booker T. Washington Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1301 Mcculloh St,21217,1,Booker T. Washington Middle School
521,Joseph C. Briscoe Academy,Baltimore City Public Schools,Baltimore,MD,Baltimore City,900 Druid Hill Avenue,21201,0,Joseph C. Briscoe Academy
522,Dr. Martin Luther King Jr. Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3750 Greenspring Ave,21211,0,Dr. Martin Luther King Jr. Elementary School
523,Medfield Heights Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,4300 Buchanan Ave,21211,0,Medfield Heights Elementary School
524,Coldstream Park Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1400 Exeter Hall Ave,21218,0,Coldstream Park Elementary School
525,Francis Scott Key Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1425 E Fort Ave,21230,0,Francis Scott Key Elementary/Middle School
526,George Washington Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,800 Scott St,21230,0,George Washington Elementary School
527,Holabird Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1500 Imla St,21224,0,Holabird Elementary School
528,Windsor Hills Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,4001 Alto Rd,21216,0,Windsor Hills Elementary School
529,Sinclair Lane Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3880 Sinclair Ln,21213,0,Sinclair Lane Elementary School
530,Lyndhurst Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,621 Wildwood Pky,21229,0,Lyndhurst Elementary School
531,N.A.C.A. Freedom And Democracy Academy Ii,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2500 E. Northern Parkway,21214,0,N.A.C.A. Freedom And Democracy Academy Ii
532,Gwynns Falls Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2700 Gwynns Falls Pky,21216,0,Gwynns Falls Elementary School
533,Augusta Fells Savage Institute Of Visual Arts,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1500 Harlem Ave,21217,0,Augusta Fells Savage Institute Of Visual Arts
534,William S. Baer School,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2001 N. Warwick Ave,21216,0,William S. Baer School
535,Dallas F. Nicholas Sr. Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,201 E 21st St,21218,0,Dallas F. Nicholas Sr. Elementary School
536,Claremont School,Baltimore City Public Schools,Baltimore,MD,Baltimore City,5301 Erdman Ave,21205,0,Claremont School
537,Liberty Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3901 Maine Ave,21207,1,Liberty Elementary School
538,Furley Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,4633 Furley Ave,21206,0,Furley Elementary School
539,Edgewood Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1900 Edgewood St,21216,0,Edgewood Elementary School
540,Hamilton Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,6101 Old Harford Rd,21214,1,Hamilton Elementary/Middle School
541,Baltimore Polytechnic Institute,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1400 W Cold Spring Ln,21209,0,Baltimore Polytechnic Institute
542,Friendship Academy Of Engineering And Technology,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2500 E. Northern Parkway,21214,0,Friendship Academy Of Engineering And Technology
543,Belmont Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1406 N Ellamont St,21216,0,Belmont Elementary School
544,Margaret Brent Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,100 E 26th St,21218,0,Margaret Brent Elementary School
545,Federal Hill Preparatory School,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1040 William St,21230,0,Federal Hill Preparatory School
546,Dr. Carter Godwin Woodson,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2501 Seabury Rd,21225,0,Dr. Carter Godwin Woodson
547,Franklin Square Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1400 W Lexington St,21223,0,Franklin Square Elementary School
548,Matthew A. Henson Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1600 N Payson St,21217,0,Matthew A. Henson Elementary School
549,Commodore John Rogers Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,100 N Chester St,21231,0,Commodore John Rogers Elementary School
550,Fort Worthington Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2801 E. Oliver St,21213,0,Fort Worthington Elementary School
551,Highlandtown Elementary #215,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3223 E Pratt St,21224,0,Highlandtown Elementary #215
552,Gilmor Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1311 N Gilmor St,21217,0,Gilmor Elementary School
553,Thomas Jefferson Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,605 Dryden Dr,21229,0,Thomas Jefferson Elementary School
554,Baltimore School For The Arts,Baltimore City Public Schools,Baltimore,MD,Baltimore City,712 Cathedral Street,21201,0,Baltimore School For The Arts
555,Mary E. Rodman Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,3510 W Mulberry St,21229,0,Mary E. Rodman Elementary School
556,Harlem Park Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1401 W Lafayette Ave,21217,0,Harlem Park Elementary School
557,Mary Ann Winterling Elementary At Bentalou,Baltimore City Public Schools,Baltimore,MD,Baltimore City,220 N Bentalou St,21223,0,Mary Ann Winterling Elementary At Bentalou
558,Academy For College And Career Exploration,Baltimore City Public Schools,Baltimore,MD,Baltimore City,1300 W 36th St,21211,0,Academy For College And Career Exploration
559,Bay-Brook Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,4301 10th St,21225,0,Bay-Brook Elementary School
560,Beechfield Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,301 S Beechfield Ave,21229,0,Beechfield Elementary School
561,James Mosher Elementary,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2400 W Mosher St,21216,0,James Mosher Elementary School
562,Barclay Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,2900 Barclay St,21218,0,Barclay Elementary/Middle School
